,MatchNumber,RoundNumber,DateUtc,Location,HomeTeam,AwayTeam,Group,HomeTeamScore,AwayTeamScore,retrieval_url,retrieval_datetime,game_datetime,game_url,num_possible_outcomes,team_home,team_away,odds_home,odds_away,odds_draw,outcome,score_home,score_away,year,outcome_int,proba,result,winning_team
0,1,1,2022-11-20 16:00:00Z,Al Bayt Stadium,Qatar,Ecuador,Group A,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-21 03:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/qatar-ecuador-jsidfnm5/,3.0,Qatar,Ecuador,3.26,2.47,3.08,,,,2022,,0.4775900837,AWAY,Ecuador
1,3,1,2022-11-21 13:00:00Z,Khalifa International Stadium,England,Iran,Group B,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-22 00:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/england-iran-0G0LfGbo/,3.0,England,Iran,1.37,11.05,4.59,,,,2022,,0.8158317169,HOME,England
2,2,1,2022-11-21 16:00:00Z,Al Thumama Stadium,Senegal,Netherlands,Group A,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-22 03:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/senegal-netherlands-4pe0g62B/,3.0,Senegal,Netherlands,6.43,1.6,3.86,,,,2022,,0.2997949838,AWAY,Netherlands
3,4,1,2022-11-21 19:00:00Z,Ahmad Bin Ali Stadium,USA,Wales,Group B,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-22 06:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/usa-wales-GUm04257/,3.0,USA,Wales,2.55,3.15,3.01,,,,2022,,0.5363867757,DRAW,draw
4,8,1,2022-11-22 10:00:00Z,Lusail Stadium,Argentina,Saudi Arabia,Group C,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-22 21:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/argentina-saudi-arabia-p42XiEr4/,3.0,Argentina,Saudi Arabia,1.17,18.88,7.35,,,,2022,,0.9404326134,HOME,Argentina
5,6,1,2022-11-22 13:00:00Z,Education City Stadium,Denmark,Tunisia,Group D,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-23 00:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/denmark-tunisia-8pCMVNR1/,3.0,Denmark,Tunisia,1.47,8.02,4.22,,,,2022,,0.7496699563,HOME,Denmark
6,7,1,2022-11-22 16:00:00Z,Stadium 974,Mexico,Poland,Group C,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-23 03:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/mexico-poland-2ucxiYcA/,3.0,Mexico,Poland,2.82,2.81,3.07,,,,2022,,0.5132389759,DRAW,draw
7,5,1,2022-11-22 19:00:00Z,Al Janoub Stadium,France,Australia,Group D,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-23 06:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/france-australia-IJ781Sp9/,3.0,France,Australia,1.26,12.64,6.06,,,,2022,,0.8700798359,HOME,France
8,12,1,2022-11-23 10:00:00Z,Al Bayt Stadium,Morocco,Croatia,Group F,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-23 21:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/morocco-croatia-ARmio3Rl/,3.0,Morocco,Croatia,4.15,2.04,3.25,,,,2022,,0.4184492141,AWAY,Croatia
9,11,1,2022-11-23 13:00:00Z,Khalifa International Stadium,Germany,Japan,Group E,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-24 00:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/germany-japan-rH3ChoZE/,3.0,Germany,Japan,1.5,6.72,4.55,,,,2022,,0.7322833824,HOME,Germany
10,10,1,2022-11-23 16:00:00Z,Al Thumama Stadium,Spain,Costa Rica,Group E,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-24 03:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/spain-costa-rica-YXjQDWEJ/,3.0,Spain,Costa Rica,1.17,19.96,7.21,,,,2022,,0.9452499661,HOME,Spain
11,9,1,2022-11-23 19:00:00Z,Ahmad Bin Ali Stadium,Belgium,Canada,Group F,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-24 06:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/belgium-canada-hjgnnqCr/,3.0,Belgium,Canada,1.52,6.35,4.44,,,,2022,,0.7204432422,HOME,Belgium
12,13,1,2022-11-24 10:00:00Z,Al Janoub Stadium,Switzerland,Cameroon,Group G,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-24 21:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/switzerland-cameroon-4pXg5OIK/,3.0,Switzerland,Cameroon,1.72,5.52,3.58,,,,2022,,0.6640563063,HOME,Switzerland
13,14,1,2022-11-24 13:00:00Z,Education City Stadium,Uruguay,South Korea,Group H,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-25 00:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/uruguay-south-korea-GpSZeKu7/,3.0,Uruguay,South Korea,1.8,5.07,3.47,,,,2022,,0.6453673884,HOME,Uruguay
14,15,1,2022-11-24 16:00:00Z,Stadium 974,Portugal,Ghana,Group H,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-25 03:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/portugal-ghana-zZAxc0Q0/,3.0,Portugal,Ghana,1.38,9.72,4.71,,,,2022,,0.7970210381,HOME,Portugal
15,16,1,2022-11-24 19:00:00Z,Lusail Stadium,Brazil,Serbia,Group G,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-25 06:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/brazil-serbia-zBSk643E/,3.0,Brazil,Serbia,1.46,7.37,4.62,,,,2022,,0.74902368,HOME,Brazil
16,17,2,2022-11-25 10:00:00Z,Ahmad Bin Ali Stadium,Wales,Iran,Group B,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-25 21:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/wales-iran-4psrTor8/,3.0,Wales,Iran,2.37,3.36,3.08,,,,2022,,0.5554403218,DRAW,draw
17,18,2,2022-11-25 13:00:00Z,Al Thumama Stadium,Qatar,Senegal,Group A,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-26 00:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/qatar-senegal-n9p5hQHH/,3.0,Qatar,Senegal,3.58,2.21,3.21,,,,2022,,0.4560778249,AWAY,Senegal
18,19,2,2022-11-25 16:00:00Z,Khalifa International Stadium,Netherlands,Ecuador,Group A,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-26 03:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/netherlands-ecuador-Qaq9ipXN/,3.0,Netherlands,Ecuador,1.59,6.07,3.99,,,,2022,,0.696840631,HOME,Netherlands
19,20,2,2022-11-25 19:00:00Z,Al Bayt Stadium,England,USA,Group B,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-26 06:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/england-usa-Cj4PgzEi/,3.0,England,USA,1.6,5.92,3.93,,,,2022,,0.6911151156,HOME,England
20,21,2,2022-11-26 10:00:00Z,Al Janoub Stadium,Tunisia,Australia,Group D,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-26 21:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/tunisia-australia-bVO50n0F/,3.0,Tunisia,Australia,2.45,2.86,3.16,,,,2022,,0.5284673194,AWAY,Australia
21,22,2,2022-11-26 13:00:00Z,Education City Stadium,Poland,Saudi Arabia,Group C,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-27 00:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/poland-saudi-arabia-YRJ9YPsq/,3.0,Poland,Saudi Arabia,1.65,5.77,3.74,,,,2022,,0.6788984003,HOME,Poland
22,23,2,2022-11-26 16:00:00Z,Stadium 974,France,Denmark,Group D,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-27 03:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/france-denmark-M1F3f742/,3.0,France,Denmark,2.01,4.04,3.3,,,,2022,,0.6023349324,HOME,France
23,24,2,2022-11-26 19:00:00Z,Lusail Stadium,Argentina,Mexico,Group C,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-27 06:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/argentina-mexico-tWetjhDG/,3.0,Argentina,Mexico,1.5,7.12,4.14,,,,2022,,0.7281045071,HOME,Argentina
24,25,2,2022-11-27 10:00:00Z,Ahmad Bin Ali Stadium,Japan,Costa Rica,Group E,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-27 21:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/japan-costa-rica-COkUCjUP/,3.0,Japan,Costa Rica,1.65,5.84,3.72,,,,2022,,0.6798000913,HOME,Japan
25,26,2,2022-11-27 13:00:00Z,Al Thumama Stadium,Belgium,Morocco,Group F,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-28 00:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/belgium-morocco-lInepNte/,3.0,Belgium,Morocco,1.61,5.65,4.04,,,,2022,,0.6882330676,HOME,Belgium
26,27,2,2022-11-27 16:00:00Z,Khalifa International Stadium,Croatia,Canada,Group F,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-28 03:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/croatia-canada-runaqsd1/,3.0,Croatia,Canada,1.75,4.86,3.7,,,,2022,,0.6512496138,HOME,Croatia
27,28,2,2022-11-27 19:00:00Z,Al Bayt Stadium,Spain,Germany,Group E,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-28 06:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/spain-germany-dK7Gi5lL/,3.0,Spain,Germany,2.57,2.74,3.42,,,,2022,,0.540168674,DRAW,draw
28,29,2,2022-11-28 10:00:00Z,Al Janoub Stadium,Cameroon,Serbia,Group G,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-28 21:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/cameroon-serbia-lI8Qa2tr/,3.0,Cameroon,Serbia,4.9,1.8,3.49,,,,2022,,0.376670717,AWAY,Serbia
29,30,2,2022-11-28 13:00:00Z,Education City Stadium,South Korea,Ghana,Group H,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-29 00:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/south-korea-ghana-8vFLJNXD/,3.0,South Korea,Ghana,2.61,3.01,3.02,,,,2022,,0.5294818648,DRAW,draw
30,31,2,2022-11-28 16:00:00Z,Stadium 974,Brazil,Switzerland,Group G,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-29 03:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/brazil-switzerland-ryWc4rYQ/,3.0,Brazil,Switzerland,1.49,6.94,4.28,,,,2022,,0.7291482952,HOME,Brazil
31,32,2,2022-11-28 19:00:00Z,Lusail Stadium,Portugal,Uruguay,Group H,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-29 06:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/portugal-uruguay-fyRweveD/,3.0,Portugal,Uruguay,2.09,3.73,3.33,,,,2022,,0.5910011239,HOME,Portugal
32,35,3,2022-11-29 15:00:00Z,Khalifa International Stadium,Ecuador,Senegal,Group A,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-30 02:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/ecuador-senegal-drzunOfo/,3.0,Ecuador,Senegal,2.74,2.7,3.22,,,,2022,,0.5210708319,DRAW,draw
33,36,3,2022-11-29 15:00:00Z,Al Bayt Stadium,Netherlands,Qatar,Group A,,,https://www.oddsportal.com/soccer/world/world-cup-2022/,2022-11-19 22:47:33,2022-11-30 02:00:00,https://www.oddsportal.com/soccer/world/world-cup-2022/netherlands-qatar-fZmDj4nU/,3.0,Netherlands,Qatar,1.26,11.93,6.01,,,,2022,,0.8607240782,HOME,Netherlands
